ax,ay,az,wx,wy,wz,AngleX,AngleY,AngleZ,label
-0.323,0.155,-0.958,-96.069,45.593,-32.532,159.725,20.281,-159.664,walking
-0.322,0.155,-0.958,-96.069,45.593,-32.532,158.956,19.957,-159.175,walking
-0.322,0.181,-0.945,-83.191,26.245,-23.682,158.236,19.715,-158.769,walking
-0.352,0.181,-0.945,-83.191,26.245,-23.682,157.56,19.55,-158.439,walking
-0.352,0.171,-0.848,-54.688,8.423,-13.184,157.0,19.451,-158.198,walking
-0.31,0.171,-0.848,-54.688,8.423,-13.184,156.561,19.424,-158.038,walking
-0.31,0.134,-0.824,-28.931,-4.395,-11.841,156.242,19.451,-157.917,walking
-0.256,0.134,-0.824,-28.931,-4.395,-11.841,156.044,19.534,-157.83,walking
-0.256,0.116,-0.863,-9.216,-1.77,-17.517,155.956,19.616,-157.709,walking
-0.251,0.116,-0.863,-9.216,-1.77,-17.517,155.989,19.698,-157.555,walking
-0.251,0.109,-0.825,7.08,7.08,-24.414,156.116,19.748,-157.352,walking
-0.301,0.109,-0.825,7.08,7.08,-24.414,156.346,19.775,-157.088,walking
-0.301,0.136,-0.775,22.4,17.273,-27.527,156.671,19.759,-156.791,walking
-0.403,0.136,-0.775,22.4,17.273,-27.527,157.077,19.698,-156.456,walking
-0.403,0.193,-0.798,36.377,21.667,-27.954,157.555,19.622,-156.116,walking
-0.484,0.193,-0.798,36.377,21.667,-27.954,158.104,19.523,-155.764,walking
-0.484,0.258,-0.875,50.476,22.766,-26.123,158.708,19.424,-155.418,walking
-0.576,0.258,-0.875,50.476,22.766,-26.123,159.379,19.314,-155.083,walking
-0.576,0.264,-0.904,60.181,15.198,-22.461,160.082,19.237,-154.781,walking
-0.643,0.264,-0.904,60.181,15.198,-22.461,160.807,19.188,-154.512,walking
-0.643,0.271,-0.875,57.251,-4.944,-14.038,161.494,19.226,-154.319,walking
-0.653,0.271,-0.875,57.251,-4.944,-14.038,162.131,19.352,-154.204,walking
-0.653,0.312,-0.767,44.189,-30.273,-1.099,162.664,19.589,-154.193,walking
-0.547,0.312,-0.767,44.189,-30.273,-1.099,163.092,19.924,-154.286,walking
-0.547,0.352,-0.77,27.466,-48.401,6.104,163.405,20.347,-154.44,walking
-0.387,0.352,-0.77,27.466,-48.401,6.104,163.603,20.841,-154.66,walking
-0.387,0.351,-0.789,11.292,-57.922,5.127,163.713,21.385,-154.885,walking
-0.252,0.351,-0.789,11.292,-57.922,5.127,163.735,21.967,-155.121,walking
-0.252,0.27,-0.666,2.502,-50.72,-0.916,163.724,22.516,-155.314,walking
-0.057,0.27,-0.666,2.502,-50.72,-0.916,163.674,23.033,-155.468,walking
-0.057,0.159,-0.701,-1.465,-27.222,-5.859,163.636,23.439,-155.561,walking
0.152,0.159,-0.701,-1.465,-27.222,-5.859,163.597,23.725,-155.588,walking
0.152,0.06,-1.134,6.653,23.254,-10.864,163.652,23.763,-155.517,walking
0.071,0.06,-1.134,6.653,23.254,-10.864,163.795,23.544,-155.341,walking
0.071,0.022,-1.519,33.752,83.496,-10.925,164.119,23.016,-155.078,walking
-0.546,0.022,-1.519,33.752,83.496,-10.925,164.614,22.187,-154.726,walking
-0.546,0.124,-1.28,48.34,106.812,39.673,165.097,21.176,-154.616,walking
-0.704,0.124,-1.28,48.34,106.812,39.673,165.569,20.001,-154.742,walking
-0.704,0.324,-1.059,53.04,65.063,107.849,165.927,18.962,-155.286,walking
-0.378,0.324,-1.059,53.04,65.063,107.849,166.179,18.062,-156.237,walking
-0.378,0.455,-1.048,60.852,42.053,127.502,166.437,17.271,-157.313,walking
-0.236,0.455,-1.048,60.852,42.053,127.502,166.707,16.573,-158.522,walking
-0.236,0.464,-1.08,49.561,41.992,104.858,166.954,15.914,-159.609,walking
-0.212,0.464,-1.08,49.561,41.992,104.858,167.179,15.282,-160.582,walking
-0.212,0.438,-0.954,25.33,37.72,70.984,167.333,14.711,-161.389,walking
-0.169,0.438,-0.954,25.33,37.72,70.984,167.404,14.2,-162.032,walking
-0.169,0.415,-0.816,2.441,34.79,46.875,167.393,13.733,-162.554,walking
-0.187,0.415,-0.816,2.441,34.79,46.875,167.294,13.304,-162.955,walking
-0.187,0.398,-0.75,-17.456,33.508,38.086,167.102,12.887,-163.312,walking
-0.259,0.398,-0.75,-17.456,33.508,38.086,166.822,12.491,-163.625,walking
-0.259,0.354,-0.724,-32.898,24.475,40.71,166.459,12.134,-163.954,walking
-0.309,0.354,-0.724,-32.898,24.475,40.71,166.02,11.821,-164.306,walking
-0.309,0.287,-0.763,-43.091,10.071,48.279,165.52,11.569,-164.713,walking
-0.326,0.287,-0.763,-43.091,10.071,48.279,164.965,11.376,-165.168,walking
-0.326,0.229,-0.866,-46.57,-7.874,55.786,164.383,11.255,-165.685,walking
-0.332,0.229,-0.866,-46.57,-7.874,55.786,163.784,11.212,-166.262,walking
-0.332,0.196,-0.952,-43.518,-25.696,51.086,163.207,11.255,-166.838,walking
-0.331,0.196,-0.952,-43.518,-25.696,51.086,162.647,11.387,-167.421,walking
-0.331,0.208,-0.964,-34.363,-38.269,31.189,162.158,11.602,-167.926,walking
-0.365,0.208,-0.964,-34.363,-38.269,31.189,161.73,11.904,-168.36,walking
-0.365,0.253,-0.949,-21.545,-47.729,8.789,161.395,12.283,-168.701,walking
-0.389,0.253,-0.949,-21.545,-47.729,8.789,161.136,12.739,-168.953,walking
