ax,ay,az,wx,wy,wz,AngleX,AngleY,AngleZ,label
0.18,0.26,-1.096,-20.142,-39.734,0.793,174.353,-16.1,40.331,running
0.18,0.303,-1.124,-26.245,-53.65,-10.437,174.067,-15.551,40.375,running
0.203,0.303,-1.124,-26.245,-53.65,-10.437,173.776,-15.002,40.413,running
0.203,0.295,-1.123,-32.593,-66.101,-15.198,173.408,-14.326,40.49,running
0.234,0.295,-1.123,-32.593,-66.101,-15.198,173.046,-13.651,40.556,running
0.234,0.246,-1.086,-36.438,-71.838,-15.808,172.65,-12.92,40.622,running
0.238,0.246,-1.086,-36.438,-71.838,-15.808,172.255,-12.195,40.677,running
0.238,0.196,-1.074,-37.048,-72.754,-12.573,171.865,-11.464,40.693,running
0.199,0.196,-1.074,-37.048,-72.754,-12.573,171.475,-10.739,40.704,running
0.199,0.152,-1.037,-32.898,-72.815,-10.498,171.14,-10.02,40.688,running
0.142,0.152,-1.037,-32.898,-72.815,-10.498,170.804,-9.3,40.671,running
0.142,0.158,-1.005,-29.114,-75.134,-9.521,170.513,-8.564,40.633,running
0.104,0.158,-1.005,-29.114,-75.134,-9.521,170.222,-7.833,40.594,running
0.104,0.172,-0.991,-26.062,-77.82,-8.728,169.969,-7.075,40.54,running
0.082,0.172,-0.991,-26.062,-77.82,-8.728,169.717,-6.323,40.479,running
0.082,0.15,-0.986,-21.423,-79.59,-9.155,169.514,-5.548,40.419,running
0.088,0.15,-0.986,-21.423,-79.59,-9.155,169.305,-4.779,40.353,running
0.088,0.122,-0.992,-16.296,-79.285,-8.484,169.156,-4.016,40.281,running
0.111,0.122,-0.992,-16.296,-79.285,-8.484,169.008,-3.257,40.21,running
0.111,0.101,-0.986,-11.658,-75.439,-2.441,168.909,-2.549,40.078,running
0.12,0.101,-0.986,-11.658,-75.439,-2.441,168.81,-1.84,39.952,running
0.12,0.088,-0.965,-7.629,-67.505,6.226,168.755,-1.23,39.754,running
0.107,0.088,-0.965,-7.629,-67.505,6.226,168.701,-0.626,39.556,running
0.107,0.079,-0.961,-3.235,-57.739,14.282,168.695,-0.137,39.298,running
0.056,0.079,-0.961,-3.235,-57.739,14.282,168.684,0.346,39.04,running
0.056,0.068,-0.936,3.052,-50.049,20.63,168.734,0.747,38.738,running
