ax,ay,az,wx,wy,wz,AngleX,AngleY,AngleZ,label
0.067,0.186,-0.988,-0.732,0.122,0.671,169.063,-3.955,13.013,lying
0.067,0.185,-0.989,-0.732,-0.061,0.977,169.058,-3.955,13.008,lying
0.066,0.185,-0.989,-0.732,-0.061,0.977,169.052,-3.955,12.997,lying
0.066,0.184,-0.989,-0.61,-0.122,0.977,169.052,-3.955,12.986,lying
0.067,0.184,-0.989,-0.61,-0.122,0.977,169.047,-3.955,12.975,lying
0.067,0.184,-0.989,-0.427,-0.122,0.793,169.047,-3.955,12.969,lying
0.066,0.184,-0.989,-0.427,-0.122,0.793,169.047,-3.955,12.958,lying
0.066,0.185,-0.989,-0.366,0,0.671,169.041,-3.955,12.953,lying
0.064,0.185,-0.989,-0.366,0,0.671,169.041,-3.955,12.947,lying
0.064,0.184,-0.99,-0.305,-0.122,0.488,169.041,-3.955,12.942,lying
0.064,0.184,-0.99,-0.305,-0.122,0.488,169.041,-3.955,12.936,lying
0.064,0.183,-0.99,-0.122,0,0.244,169.041,-3.95,12.931,lying
0.065,0.183,-0.99,-0.122,0,0.244,169.041,-3.95,12.925,lying
0.065,0.184,-0.989,0.061,0,0,169.047,-3.95,12.925,lying
0.065,0.184,-0.989,0.061,0,0,169.047,-3.95,12.925,lying
0.065,0.183,-0.989,0,0,0,169.052,-3.95,12.925,lying
0.064,0.183,-0.989,0,0,0,169.052,-3.944,12.925,lying
0.064,0.182,-0.988,0.122,-0.061,-0.061,169.058,-3.944,12.925,lying
0.067,0.182,-0.988,0.122,-0.061,-0.061,169.058,-3.944,12.925,lying
0.067,0.183,-0.986,0.122,0,0,169.063,-3.939,12.925,lying
0.067,0.183,-0.986,0.122,0,0,169.069,-3.939,12.925,lying
0.067,0.183,-0.987,-0.122,0.122,0.122,169.069,-3.939,12.925,lying
0.066,0.183,-0.987,-0.122,0.122,0.122,169.069,-3.939,12.925,lying
0.066,0.183,-0.987,-0.244,0.122,0.305,169.074,-3.939,12.925,lying
0.065,0.183,-0.987,-0.244,0.122,0.305,169.074,-3.939,12.92,lying
0.065,0.183,-0.987,-0.366,0.061,0.427,169.074,-3.944,12.914,lying
0.065,0.183,-0.987,-0.366,0.061,0.427,169.069,-3.944,12.914,lying
0.066,0.183,-0.987,-0.366,0.061,0.427,169.069,-3.944,12.909,lying
0.066,0.183,-0.989,-0.366,-0.061,0.549,169.069,-3.939,12.903,lying
0.067,0.183,-0.989,-0.366,-0.061,0.549,169.069,-3.939,12.898,lying
0.067,0.184,-0.99,-0.244,-0.061,0.488,169.069,-3.939,12.892,lying
0.066,0.184,-0.99,-0.244,-0.061,0.488,169.069,-3.939,12.887,lying
0.066,0.185,-0.989,-0.183,0.061,0.488,169.069,-3.939,12.881,lying
0.065,0.185,-0.989,-0.183,0.061,0.488,169.069,-3.939,12.876,lying
0.065,0.185,-0.989,-0.183,0.183,0.427,169.074,-3.944,12.876,lying
0.064,0.185,-0.989,-0.183,0.183,0.427,169.074,-3.944,12.87,lying
0.064,0.183,-0.99,0.061,0.061,0.244,169.074,-3.944,12.865,lying
0.066,0.183,-0.99,0.061,0.061,0.244,169.08,-3.944,12.865,lying
0.066,0.184,-0.988,0.244,0.183,0.122,169.085,-3.944,12.865,lying
0.065,0.184,-0.988,0.244,0.183,0.122,169.091,-3.944,12.865,lying
0.065,0.184,-0.987,0,0.183,0.183,169.091,-3.944,12.859,lying
0.064,0.184,-0.987,0,0.183,0.183,169.096,-3.944,12.859,lying
0.064,0.183,-0.988,0,0,0.122,169.096,-3.944,12.859,lying
0.065,0.183,-0.988,0,0,0.122,169.096,-3.944,12.854,lying
0.065,0.182,-0.988,0.061,-0.061,0.122,169.102,-3.944,12.854,lying
