ax,ay,az,wx,wy,wz,AngleX,AngleY,AngleZ,label
-0.791,0.09,-0.577,-3.54,3.296,5.859,168.602,53.624,66.55,sitting
-0.828,0.09,-0.577,-3.54,3.296,5.859,168.508,53.586,66.462,sitting
-0.828,0.083,-0.583,-0.732,2.747,7.874,168.415,53.542,66.346,sitting
-0.846,0.083,-0.583,-0.732,2.747,7.874,168.327,53.503,66.226,sitting
-0.846,0.085,-0.58,1.526,-0.305,8.728,168.239,53.492,66.077,sitting
-0.823,0.085,-0.58,1.526,-0.305,8.728,168.151,53.481,65.934,sitting
-0.823,0.104,-0.575,1.709,-1.404,7.141,168.085,53.487,65.814,sitting
-0.809,0.104,-0.575,1.709,-1.404,7.141,168.019,53.492,65.693,sitting
-0.809,0.118,-0.576,0.305,-0.61,5.066,167.97,53.492,65.605,sitting
-0.814,0.118,-0.576,0.305,-0.61,5.066,167.915,53.492,65.522,sitting
-0.814,0.113,-0.57,0.122,0.0,5.066,167.866,53.487,65.44,sitting
-0.817,0.113,-0.57,0.122,0.0,5.066,167.811,53.481,65.358,sitting
-0.817,0.118,-0.568,0.488,-0.061,5.249,167.756,53.476,65.27,sitting
-0.813,0.118,-0.568,0.488,-0.061,5.249,167.706,53.47,65.182,sitting
-0.813,0.125,-0.582,-0.916,0.244,3.967,167.651,53.465,65.121,sitting
-0.835,0.125,-0.582,-0.916,0.244,3.967,167.602,53.459,65.056,sitting
-0.835,0.12,-0.589,-2.747,-1.343,1.709,167.558,53.47,65.023,sitting
-0.844,0.12,-0.589,-2.747,-1.343,1.709,167.514,53.487,64.99,sitting
-0.844,0.116,-0.585,-3.174,-4.7,0.427,167.476,53.536,64.968,sitting
-0.813,0.116,-0.585,-3.174,-4.7,0.427,167.432,53.586,64.94,sitting
-0.813,0.118,-0.585,-3.967,-5.005,0.183,167.382,53.641,64.924,sitting
-0.802,0.118,-0.585,-3.967,-5.005,0.183,167.338,53.69,64.902,sitting
-0.802,0.121,-0.582,-5.676,-2.502,0.366,167.278,53.718,64.885,sitting
-0.808,0.121,-0.582,-5.676,-2.502,0.366,167.217,53.745,64.869,sitting
-0.808,0.122,-0.575,-6.775,-2.197,0.671,167.146,53.767,64.852,sitting
-0.797,0.122,-0.575,-6.775,-2.197,0.671,167.069,53.789,64.83,sitting
-0.797,0.128,-0.574,-6.653,-2.686,0.305,167.003,53.811,64.819,sitting
-0.775,0.128,-0.574,-6.653,-2.686,0.305,166.932,53.839,64.803,sitting
-0.775,0.128,-0.572,-6.042,-2.258,0.122,166.871,53.86,64.792,sitting
-0.783,0.128,-0.572,-6.042,-2.258,0.122,166.811,53.882,64.781,sitting
-0.783,0.121,-0.57,-4.395,-0.305,1.16,166.761,53.882,64.764,sitting
-0.823,0.121,-0.57,-4.395,-0.305,1.16,166.707,53.882,64.742,sitting
-0.823,0.117,-0.582,-1.831,-0.244,2.38,166.668,53.877,64.704,sitting
-0.843,0.117,-0.582,-1.831,-0.244,2.38,166.624,53.871,64.66,sitting
-0.843,0.114,-0.572,0.305,-3.357,2.38,166.597,53.899,64.611,sitting
-0.819,0.114,-0.572,0.305,-3.357,2.38,166.569,53.932,64.556,sitting
-0.819,0.117,-0.551,1.099,-3.479,1.404,166.547,53.959,64.512,sitting
-0.809,0.117,-0.551,1.099,-3.479,1.404,166.542,53.992,64.479,sitting
-0.809,0.125,-0.544,1.404,-0.488,0.366,166.547,54.014,64.457,sitting
-0.806,0.125,-0.544,1.404,-0.488,0.366,166.564,54.02,64.446,sitting
-0.806,0.127,-0.546,2.136,2.319,-0.549,166.591,54.014,64.451,sitting
-0.813,0.127,-0.546,2.136,2.319,-0.549,166.635,53.998,64.473,sitting
-0.813,0.126,-0.557,2.014,3.723,-0.671,166.685,53.97,64.495,sitting
-0.814,0.126,-0.557,2.014,3.723,-0.671,166.729,53.943,64.517,sitting
-0.814,0.121,-0.561,0.854,3.662,-0.916,166.772,53.91,64.55,sitting
-0.836,0.121,-0.561,0.854,3.662,-0.916,166.811,53.882,64.578,sitting
-0.836,0.126,-0.567,-0.732,3.296,-2.197,166.849,53.86,64.616,sitting
-0.863,0.126,-0.567,-0.732,3.296,-2.197,166.888,53.839,64.666,sitting
-0.863,0.121,-0.578,-1.831,-0.366,-3.174,166.915,53.833,64.715,sitting
-0.808,0.121,-0.578,-1.831,-0.366,-3.174,166.948,53.855,64.77,sitting
-0.808,0.123,-0.565,-1.709,-1.709,-2.808,166.97,53.877,64.814,sitting
-0.793,0.123,-0.565,-1.709,-1.709,-2.808,166.992,53.904,64.852,sitting
-0.793,0.131,-0.574,-1.831,2.563,0.0,166.998,53.91,64.88,sitting
-0.816,0.131,-0.574,-1.831,2.563,0.0,166.992,53.888,64.891,sitting
-0.816,0.141,-0.589,-3.662,1.892,1.709,166.965,53.871,64.885,sitting
-0.795,0.141,-0.589,-3.662,1.892,1.709,166.91,53.849,64.863,sitting
-0.795,0.14,-0.569,-5.493,0.305,1.343,166.855,53.839,64.841,sitting
-0.771,0.14,-0.569,-5.493,0.305,1.343,166.783,53.839,64.825,sitting
-0.771,0.128,-0.562,-5.676,1.221,0.916,166.718,53.828,64.808,sitting
-0.771,0.128,-0.562,-5.676,1.221,0.916,166.657,53.817,64.797,sitting
-0.771,0.113,-0.563,-3.296,3.784,2.441,166.602,53.789,64.781,sitting
-0.806,0.113,-0.563,-3.296,3.784,2.441,166.553,53.751,64.753,sitting
-0.806,0.103,-0.574,0.244,4.578,4.944,166.509,53.701,64.709,sitting
-0.845,0.103,-0.574,0.244,4.578,4.944,166.465,53.646,64.649,sitting
-0.845,0.112,-0.586,2.38,2.136,6.714,166.421,53.602,64.567,sitting
-0.835,0.112,-0.586,2.38,2.136,6.714,166.371,53.569,64.468,sitting
-0.835,0.123,-0.575,2.441,-1.343,5.859,166.328,53.553,64.363,sitting
-0.796,0.123,-0.575,2.441,-1.343,5.859,166.278,53.558,64.265,sitting
-0.796,0.131,-0.553,2.014,-0.366,4.639,166.24,53.558,64.177,sitting
-0.8,0.131,-0.553,2.014,-0.366,4.639,166.212,53.553,64.094,sitting
-0.8,0.135,-0.548,1.892,3.113,4.15,166.185,53.536,64.028,sitting
-0.813,0.135,-0.548,1.892,3.113,4.15,166.168,53.498,63.973,sitting
-0.813,0.137,-0.563,1.77,4.7,3.662,166.157,53.459,63.929,sitting
-0.813,0.137,-0.563,1.77,4.7,3.662,166.152,53.41,63.885,sitting
-0.813,0.14,-0.573,0.793,5.005,2.747,166.141,53.361,63.853,sitting
-0.814,0.14,-0.573,0.793,5.005,2.747,166.135,53.311,63.831,sitting
-0.814,0.139,-0.578,-0.732,4.272,1.221,166.13,53.267,63.814,sitting
-0.841,0.139,-0.578,-0.732,4.272,1.221,166.13,53.229,63.814,sitting
-0.841,0.142,-0.592,-2.258,2.625,-0.916,166.124,53.201,63.825,sitting
-0.835,0.142,-0.592,-2.258,2.625,-0.916,166.13,53.185,63.853,sitting
-0.835,0.143,-0.591,-3.784,-0.488,-2.075,166.124,53.185,63.88,sitting
-0.804,0.143,-0.591,-3.784,-0.488,-2.075,166.119,53.201,63.913,sitting
-0.804,0.149,-0.586,-5.371,-0.366,-2.197,166.102,53.218,63.946,sitting
-0.8,0.149,-0.586,-5.371,-0.366,-2.197,166.08,53.229,63.979,sitting
-0.8,0.151,-0.591,-8.057,0.427,-2.136,166.042,53.24,64.012,sitting
-0.801,0.151,-0.591,-8.057,0.427,-2.136,165.992,53.245,64.05,sitting
-0.801,0.15,-0.59,-9.033,0.244,-2.625,165.943,53.251,64.089,sitting
-0.788,0.15,-0.59,-9.033,0.244,-2.625,165.894,53.256,64.133,sitting
-0.788,0.146,-0.582,-8.362,-0.854,-3.54,165.844,53.267,64.182,sitting
-0.766,0.146,-0.582,-8.362,-0.854,-3.54,165.806,53.284,64.237,sitting
-0.766,0.137,-0.576,-6.592,-0.244,-3.357,165.778,53.3,64.292,sitting
-0.785,0.137,-0.576,-6.592,-0.244,-3.357,165.756,53.311,64.347,sitting
-0.785,0.122,-0.587,-3.296,1.709,-2.014,165.751,53.311,64.391,sitting
-0.834,0.122,-0.587,-3.296,1.709,-2.014,165.751,53.295,64.429,sitting
-0.834,0.116,-0.593,0.916,-0.244,-1.16,165.773,53.289,64.462,sitting
-0.841,0.116,-0.593,0.916,-0.244,-1.16,165.8,53.295,64.479,sitting
-0.841,0.128,-0.583,3.174,-4.7,-1.831,165.839,53.322,64.49,sitting
-0.811,0.128,-0.583,3.174,-4.7,-1.831,165.888,53.377,64.501,sitting
-0.811,0.133,-0.568,3.54,-5.188,-2.991,165.943,53.432,64.523,sitting
-0.796,0.133,-0.568,3.54,-5.188,-2.991,166.009,53.487,64.55,sitting
-0.796,0.131,-0.554,4.272,-2.014,-2.808,166.08,53.531,64.583,sitting
-0.808,0.131,-0.554,4.272,-2.014,-2.808,166.157,53.558,64.622,sitting
-0.808,0.135,-0.555,4.333,1.038,-2.93,166.24,53.569,64.666,sitting
-0.806,0.135,-0.555,4.333,1.038,-2.93,166.333,53.569,64.72,sitting
-0.806,0.136,-0.561,2.319,1.648,-3.906,166.415,53.569,64.781,sitting
-0.808,0.136,-0.561,2.319,1.648,-3.906,166.498,53.564,64.852,sitting
-0.808,0.121,-0.56,1.099,2.625,-4.456,166.58,53.558,64.929,sitting
-0.839,0.121,-0.56,1.099,2.625,-4.456,166.657,53.547,65.012,sitting
-0.839,0.114,-0.572,0.671,1.038,-5.432,166.74,53.542,65.099,sitting
-0.832,0.114,-0.572,0.671,1.038,-5.432,166.822,53.547,65.193,sitting
-0.832,0.118,-0.583,0.977,-2.075,-5.737,166.904,53.569,65.281,sitting
-0.806,0.118,-0.583,0.977,-2.075,-5.737,166.987,53.608,65.369,sitting
-0.806,0.117,-0.573,3.174,-1.404,-3.601,167.069,53.641,65.44,sitting
-0.808,0.117,-0.573,3.174,-1.404,-3.601,167.146,53.668,65.495,sitting
-0.808,0.122,-0.577,3.357,0.671,-1.038,167.212,53.679,65.533,sitting
-0.798,0.122,-0.577,3.357,0.671,-1.038,167.261,53.679,65.55,sitting
-0.798,0.129,-0.584,0.427,1.526,0.793,167.289,53.674,65.555,sitting
-0.796,0.129,-0.584,0.427,1.526,0.793,167.294,53.657,65.55,sitting
-0.796,0.125,-0.583,-1.709,0.977,1.526,167.278,53.646,65.533,sitting
-0.774,0.125,-0.583,-1.709,0.977,1.526,167.245,53.635,65.517,sitting
-0.774,0.124,-0.578,-1.526,0.244,2.747,167.206,53.624,65.484,sitting
-0.767,0.124,-0.578,-1.526,0.244,2.747,167.157,53.619,65.44,sitting
-0.767,0.119,-0.572,0.0,2.563,4.822,167.108,53.597,65.38,sitting
-0.767,0.119,-0.572,0.0,2.563,4.822,167.058,53.558,65.314,sitting
-0.825,0.119,-0.572,0.0,2.563,4.822,167.009,53.52,65.242,sitting
-0.825,0.104,-0.577,2.747,2.991,7.08,166.959,53.476,65.138,sitting
-0.862,0.104,-0.577,2.747,2.991,7.08,166.91,53.432,65.034,sitting
-0.862,0.103,-0.59,4.456,-0.977,7.69,166.86,53.427,64.907,sitting
-0.829,0.103,-0.59,4.456,-0.977,7.69,166.811,53.421,64.775,sitting
-0.829,0.12,-0.601,3.662,-4.456,8.118,166.734,53.448,64.627,sitting
-0.802,0.12,-0.601,3.662,-4.456,8.118,166.663,53.476,64.479,sitting
-0.802,0.13,-0.585,3.296,-4.211,8.728,166.58,53.498,64.319,sitting
-0.795,0.13,-0.585,3.296,-4.211,8.728,166.498,53.52,64.16,sitting
-0.795,0.125,-0.554,3.906,-2.563,9.399,166.415,53.525,63.995,sitting
-0.794,0.125,-0.554,3.906,-2.563,9.399,166.333,53.531,63.831,sitting
-0.794,0.127,-0.553,3.296,-0.732,9.277,166.256,53.52,63.677,sitting
-0.809,0.127,-0.553,3.296,-0.732,9.277,166.174,53.509,63.523,sitting
-0.809,0.129,-0.564,1.16,0.305,8.545,166.086,53.487,63.386,sitting
-0.829,0.129,-0.564,1.16,0.305,8.545,165.998,53.465,63.248,sitting
-0.829,0.133,-0.572,-1.343,0.061,7.446,165.894,53.454,63.127,sitting
